batch_id,product_id,product_name,warehouse_location,received_date,storage_days,opening_stock_kg,accepted_quantity_kg,sold_quantity_kg,closing_stock_kg,shrinkage_kg,shrinkage_reason,quality_grade,moisture_percent,aflatoxin_risk_level,fumigation_required,warehouse_condition_score
B00001,P01,Maize,Kakamega Aggregation Warehouse,2025-08-30,304,662,662,0,660,2,Moisture Loss,Grade A,10.6,Medium,Yes,7.5
B00002,P05,Sorghum,Kisumu Aggregation Warehouse,2025-10-30,25,922,922,922,0,18,Spillage During Handling,Grade B,13.1,Low,No,8.9
B00003,P04,Wheat,Kirinyaga Aggregation Warehouse,2025-08-12,70,363,363,363,0,11,Spillage During Handling,Grade C,16.8,Medium,Yes,7.9
B00004,P01,Maize,Embu Aggregation Warehouse,2026-06-02,28,1413,1413,699,703,11,Moisture Loss,Grade A,10.9,Low,No,8.8
B00005,P01,Maize,Makueni Aggregation Warehouse,2026-04-02,20,438,438,438,0,1,Weighing Variance,Grade A,8.7,Low,No,8.9
B00006,P01,Maize,Narok Aggregation Warehouse,2025-01-04,64,560,560,560,0,4,Spillage During Handling,Grade A,11.9,Low,No,6.4
B00007,P09,Barley,Kirinyaga Aggregation Warehouse,2025-02-02,400,182,182,0,174,8,Spillage During Handling,Grade C,18.3,High,Yes,8.3
B00008,P03,Rice,Meru Aggregation Warehouse,2026-01-22,63,707,707,707,0,11,Moisture Loss,Grade B,11.6,Low,No,7.4
B00009,P02,Beans,Nakuru Aggregation Warehouse,2025-08-17,317,510,510,0,498,12,Moisture Loss,Grade B,14.8,Medium,Yes,7.8
B00010,P01,Maize,Bungoma Aggregation Warehouse,2025-06-08,63,453,453,453,0,15,Pest Damage,Grade C,17.6,High,Yes,7.6
B00011,P01,Maize,Meru Aggregation Warehouse,2025-04-14,400,1000,1000,850,136,14,Moisture Loss,Grade A,12.1,Low,Yes,7.7
B00012,P01,Maize,Nyeri Aggregation Warehouse,2025-08-28,32,835,835,835,0,11,Weighing Variance,Grade B,12.7,Low,No,9.3
B00013,P09,Barley,Kirinyaga Aggregation Warehouse,2025-08-15,319,1612,1612,0,1590,22,Spillage During Handling,Grade B,13.0,Medium,Yes,6.1
B00014,P03,Rice,Bungoma Aggregation Warehouse,2026-01-26,70,1153,1153,1153,0,24,Moisture Loss,Grade B,13.3,Low,Yes,5.7
B00015,P02,Beans,Nyeri Aggregation Warehouse,2025-05-28,398,875,875,187,656,32,Pest Damage,Grade C,16.9,Low,No,5.5
