procurement_id,batch_id,farmer_id,product_id,product_name,procurement_date,season,county_sourced,quantity_kg,farmgate_price_kes_per_kg,transport_cost_kes,handling_cost_kes,moisture_percent,grade,rejected_quantity_kg,accepted_quantity_kg,collection_center,payment_status,days_to_pay_farmer
PR00001,B00001,F0047,P01,Maize,2025-08-30,Long Rains Harvest,Kakamega,662,39.55,101.9,473.17,10.6,Grade A,0,662,Kakamega Collection Center 2,Pending,
PR00002,B00002,F0082,P05,Sorghum,2025-10-30,Peak Demand Season,Kisumu,922,58.12,136.29,1078.88,13.1,Grade B,0,922,Kisumu Collection Center 3,Paid,20
PR00003,B00003,F0061,P04,Wheat,2025-08-12,Long Rains Harvest,Kirinyaga,363,49.33,92.74,332.9,16.8,Grade C,0,363,Kirinyaga Collection Center 3,Paid,21
PR00004,B00004,F0107,P01,Maize,2026-06-02,Lean Season,Embu,1413,50.66,177.03,869.24,10.9,Grade A,0,1413,Embu Collection Center 2,Pending,
PR00005,B00005,F0066,P01,Maize,2026-04-02,Lean Season,Makueni,438,61.53,47.25,376.36,8.7,Grade A,0,438,Makueni Collection Center 3,Pending,
PR00006,B00006,F0033,P01,Maize,2025-01-04,Short Rains Harvest,Narok,560,51.24,60.02,297.75,11.9,Grade A,0,560,Narok Collection Center 1,Delayed,41
PR00007,B00007,F0061,P09,Barley,2025-02-02,Short Rains Harvest,Kirinyaga,182,44.53,41.06,108.25,18.3,Grade C,0,182,Kirinyaga Collection Center 2,Paid,8
PR00008,B00008,F0118,P03,Rice,2026-01-22,Short Rains Harvest,Meru,707,74.35,83.49,681.02,11.6,Grade B,0,707,Meru Collection Center 3,Paid,19
PR00009,B00009,F0017,P02,Beans,2025-08-17,Long Rains Harvest,Nakuru,510,118.12,81.48,604.32,14.8,Grade B,0,510,Nakuru Collection Center 1,Paid,16
PR00010,B00010,F0045,P01,Maize,2025-06-08,Lean Season,Bungoma,453,51.98,55.06,456.41,17.6,Grade C,0,453,Bungoma Collection Center 1,Pending,
PR00011,B00011,F0009,P01,Maize,2025-04-14,Lean Season,Meru,1145,57.68,129.38,1111.13,12.1,Grade A,145,1000,Meru Collection Center 1,Paid,16
PR00012,B00012,F0038,P01,Maize,2025-08-28,Long Rains Harvest,Nyeri,835,50.65,106.38,603.9,12.7,Grade B,0,835,Nyeri Collection Center 1,Paid,17
PR00013,B00013,F0067,P09,Barley,2025-08-15,Long Rains Harvest,Kirinyaga,1612,44.28,147.66,1434.2,13.0,Grade B,0,1612,Kirinyaga Collection Center 3,Paid,13
PR00014,B00014,F0045,P03,Rice,2026-01-26,Short Rains Harvest,Bungoma,1153,82.92,121.03,912.52,13.3,Grade B,0,1153,Bungoma Collection Center 1,Paid,11
PR00015,B00015,F0091,P02,Beans,2025-05-28,Lean Season,Nyeri,955,142.5,151.71,853.46,16.9,Grade C,80,875,Nyeri Collection Center 3,Paid,13
PR00016,B00016,F0058,P01,Maize,2026-01-15,Short Rains Harvest,Kakamega,1425,41.31,237.33,902.51,8.2,Grade B,0,1425,Kakamega Collection Center 1,Pending,
PR00017,B00017,F0076,P07,Green Grams,2025-08-11,Long Rains Harvest,Kirinyaga,353,127.16,53.58,258.78,14.7,Grade A,0,353,Kirinyaga Collection Center 1,Delayed,26
PR00018,B00018,F0097,P06,Millet,2026-05-06,Lean Season,Embu,200,122.37,30.61,198.53,12.5,Grade A,0,200,Embu Collection Center 2,Paid,16
PR00019,B00019,F0046,P04,Wheat,2025-11-12,Peak Demand Season,Makueni,394,51.05,57.16,334.15,13.1,Grade C,0,394,Makueni Collection Center 1,Pending,
PR00020,B00020,F0053,P02,Beans,2025-02-16,Short Rains Harvest,Busia,223,111.63,26.63,134.28,14.9,Grade C,0,223,Busia Collection Center 1,Paid,16
PR00021,B00021,F0030,P01,Maize,2026-01-24,Short Rains Harvest,Makueni,1683,48.56,187.54,1490.21,12.9,Grade A,0,1683,Makueni Collection Center 3,Paid,15
PR00022,B00022,F0063,P05,Sorghum,2026-04-17,Lean Season,Kirinyaga,560,57.53,64.21,346.35,10.7,Grade A,0,560,Kirinyaga Collection Center 3,Paid,18
PR00023,B00023,F0068,P08,Cowpeas,2025-02-04,Short Rains Harvest,Kisumu,1026,107.51,114.51,1100.48,14.7,Grade A,173,853,Kisumu Collection Center 1,Paid,17
PR00024,B00024,F0065,P01,Maize,2026-04-12,Lean Season,Kakamega,647,53.73,86.23,625.47,10.4,Grade A,0,647,Kakamega Collection Center 3,Paid,8
PR00025,B00025,F0003,P02,Beans,2025-10-09,Peak Demand Season,Meru,520,122.25,102.95,442.81,14.3,Grade B,0,520,Meru Collection Center 1,Paid,18
PR00026,B00026,F0031,P04,Wheat,2025-07-16,Long Rains Harvest,Nakuru,1034,48.02,106.01,773.54,16.4,Grade B,0,1034,Nakuru Collection Center 1,Paid,11
PR00027,B00027,F0029,P09,Barley,2025-11-04,Peak Demand Season,Kitui,537,53.38,66.28,514.24,8.8,Grade B,0,537,Kitui Collection Center 3,Paid,21
PR00028,B00028,F0082,P03,Rice,2025-01-10,Short Rains Harvest,Kisumu,1200,81.19,170.97,1310.08,12.4,Grade A,0,1200,Kisumu Collection Center 3,Delayed,36
PR00029,B00029,F0030,P08,Cowpeas,2025-08-05,Long Rains Harvest,Makueni,3296,105.84,409.92,2955.68,12.7,Grade C,0,3296,Makueni Collection Center 3,Paid,17
PR00030,B00030,F0005,P04,Wheat,2025-07-03,Long Rains Harvest,Nakuru,1078,50.86,110.08,1264.52,13.0,Grade B,0,1078,Nakuru Collection Center 1,Paid,20
PR00031,B00031,F0073,P01,Maize,2025-09-04,Long Rains Harvest,Machakos,313,46.98,68.62,304.84,15.8,Grade B,0,313,Machakos Collection Center 3,Pending,
PR00032,B00032,F0065,P06,Millet,2025-12-21,Peak Demand Season,Kakamega,538,85.8,68.63,584.84,12.3,Grade B,0,538,Kakamega Collection Center 2,Paid,13
PR00033,B00033,F0035,P01,Maize,2026-04-07,Lean Season,Nyeri,3149,55.83,322.79,3649.06,13.6,Grade B,0,3149,Nyeri Collection Center 3,Paid,9
PR00034,B00034,F0032,P01,Maize,2025-03-17,Lean Season,Nakuru,574,48.51,70.92,572.95,14.3,Grade B,0,574,Nakuru Collection Center 1,Paid,4
PR00035,B00035,F0057,P08,Cowpeas,2026-01-04,Short Rains Harvest,Uasin Gishu,666,105.3,108.77,373.7,13.8,Grade B,0,666,Uasin Gishu Collection Center 1,Paid,11
PR00036,B00036,F0012,P02,Beans,2025-11-29,Peak Demand Season,Narok,2095,136.03,265.63,1654.35,10.1,Grade B,0,2095,Narok Collection Center 1,Delayed,33
PR00037,B00037,F0022,P04,Wheat,2026-01-25,Short Rains Harvest,Makueni,782,45.31,90.31,537.93,9.7,Grade A,0,782,Makueni Collection Center 1,Paid,15
PR00038,B00038,F0032,P02,Beans,2026-05-23,Lean Season,Nakuru,1230,133.0,153.65,707.1,10.4,Grade C,0,1230,Nakuru Collection Center 2,Paid,15
PR00039,B00039,F0056,P03,Rice,2025-05-20,Lean Season,Kisumu,425,85.8,85.05,419.35,12.2,Grade A,0,425,Kisumu Collection Center 3,Paid,21
